SITE,SUBSTRATE,MEAN_OD,OD_SE,LOCATION
HC,Polystyrene,0.059166667,0.006135778,LOCAL
HC,PVC,0.047733333,0.014599239,LOCAL
HC,Tile,0.050066667,0.013433333,LOCAL
NB,Polystyrene,0.198233333,0.058550273,LOCAL
NB,PVC,0.120966667,0.019231947,LOCAL
NB,Tile,0.097833333,0.019815174,LOCAL
SC,Polystyrene,0.0603,0.007216878,LOCAL
SC,PVC,0.040733333,0.014807918,LOCAL
SC,Tile,0.038,0.008179446,LOCAL
AZ,Polystyrene,0.113666667,0.018106751,NATIONAL
AZ,PVC,0.0416,0.008064945,NATIONAL
AZ,Tile,0.084366667,0.001800309,NATIONAL
MD,Polystyrene,0.107733333,0.028606079,NATIONAL
MD,PVC,0.071566667,0.008010895,NATIONAL
MD,Tile,0.060533333,0.008685109,NATIONAL
WA,Polystyrene,0.1372,0.026133185,NATIONAL
WA,PVC,0.119433333,0.001183685,NATIONAL
WA,Tile,0.100133333,0.008026899,NATIONAL
